product_category,product_type,primary_material,cogs_unit_usd,typical_margin_pct
Coffee,Gourmet brewed coffee,MAT_BEANS_ETHIOPIA,0.42,86.0
Coffee,Drip coffee,MAT_BEANS_HOUSE,0.28,88.5
Coffee,Barista Espresso,MAT_BEANS_ETHIOPIA,0.65,84.7
Tea,Brewed Chai tea,MAT_TEA_CHAI,0.55,81.0
Tea,Brewed herbal tea,MAT_TEA_LOOSE,0.35,87.0
Tea,Brewed Black tea,MAT_TEA_LOOSE,0.32,88.0
Drinking Chocolate,Hot chocolate,MAT_CHOC_DARK,0.78,80.5
Bakery,Scone,MAT_BAKERY_SCONE,1.25,64.0
Bakery,Pastry,MAT_BAKERY_PASTRY,1.4,62.0
Bakery,Biscotti,MAT_BAKERY_BISCOTTI,0.95,71.0
Flavours,Regular syrup,MAT_SYRUP_CARAMEL,0.12,85.0
Flavours,Sugar free syrup,MAT_SYRUP_VANILLA,0.14,82.5
Coffee beans,Gourmet Beans,MAT_BEANS_ETHIOPIA,7.5,65.0
Coffee beans,Organic Beans,MAT_BEANS_DECAF,8.0,71.4
Loose Tea,Herbal tea,MAT_TEA_LOOSE,2.8,68.7
Loose Tea,Chai tea,MAT_TEA_CHAI,3.0,68.4
Packaged Chocolate,Drinking Chocolate,MAT_CHOC_DARK,2.2,65.6
Branded,Housewares,MAT_PACKAGING_CUP,4.5,67.8
