material_id,name,category,unit,cost_per_unit
MAT_BEANS_ETHIOPIA,Ethiopia Yirgacheffe Specialty Beans,Beans,kg,16.5
MAT_BEANS_COLOMBIA,Colombian Supremo Specialty Beans,Beans,kg,14.2
MAT_BEANS_HOUSE,Artisan Diner House Blend Roasted Beans,Beans,kg,11.5
MAT_BEANS_DECAF,Swiss Water Decaf Organic Beans,Beans,kg,15.0
MAT_MILK_WHOLE,Farm Fresh Whole Milk,Dairy,gal,3.8
MAT_MILK_OAT,Barista Edition Oat Milk,Plant Milk,gal,5.4
MAT_MILK_ALMOND,Unsweetened Almond Milk,Plant Milk,gal,4.9
MAT_TEA_CHAI,Spiced Masala Chai Concentrate,Tea,liter,4.5
MAT_TEA_LOOSE,Organic Loose Leaf Teas (Herbal/Black/Green),Tea,kg,22.0
MAT_CHOC_DARK,Dutch Cocoa & Dark Chocolate Drops,Chocolate,kg,9.2
MAT_SYRUP_CARAMEL,Artisan Caramel Syrup,Flavours,bottle_750ml,7.5
MAT_SYRUP_HAZELNUT,Roasted Hazelnut Syrup,Flavours,bottle_750ml,7.5
MAT_SYRUP_VANILLA,Madagascar Vanilla Syrup,Flavours,bottle_750ml,8.0
MAT_BAKERY_SCONE,Handmade Artisan Scone (Wholesale),Bakery,piece,1.25
MAT_BAKERY_PASTRY,Butter Croissant / Danish (Wholesale),Bakery,piece,1.4
MAT_BAKERY_BISCOTTI,Almond Biscotti (Wholesale),Bakery,piece,0.95
MAT_PACKAGING_CUP,Biodegradable Hot Cup + Lid + Sleeve,Packaging,set,0.22
